Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6175,0.14215686274509803,0.6408839779005525,0.23269809428284854,0.6591503436713149
Random Forest,0.894,0.19607843137254902,0.055248618784530384,0.08620689655172414,0.5968673213076214
XGBoost,0.905,0.2,0.016574585635359115,0.030612244897959183,0.6075950904965692
